"All","Всички"
"None","Нито един"
"Please specify at least one website or one store group.","Моля, посочете поне един сайт или един група магазини."
"Incorrect website ID: %1","Неправилен уебсайт ИН: %1"
"Incorrect store ID: %1","Неправилен магазин ИН: %1"
"Custom","Персонализиран""Manage Shopping Cart","Управление на количката"
"Create Order","Създайте Поръчай"
"Back","Назад"
"Add Products","Добави Продукти"
"Update Items and Quantities","Актуализирай артикули и количества"
"Are you sure you want to clear your cart?","Сигурни ли сте, че искате да изчистите вашата количка?"
"Clear my shopping cart","Изчистете кошницата"
"Add selections to my cart","Добави избраните към количката ми"
"Cancel","Отмени"
"Shopping Cart for %1 in %2","Количка за %1 в %2"
"Select products you want to buy","Изберете продукти, които искате да купите"
"Product","Продукт"
"Price","Цена"
"Quantity","Количество"
"Products in the Comparison List (%1)","Продукти в списъка за сравнение (%1)"
"Last ordered items (%1)","Последно поръчанит артикули (%1)"
"Products","Продукти"
"ID","IN"
"SKU","Каталожен номер"
"Recently Compared Products (%1)","Наскоро сравнени Продукти (%1)"
"Recently Viewed Products (%1)","Наскоро разглеждани Продукти (%1)"
"Add to Shopping Cart by SKU","Добави в количката по Каталожен Номер"
"Add to Shopping Cart","Добави в количката"
"Wish List (%1)","Списък с Желани (%1)"
"Apply","Приложи"
"Configure","Конфигурирай"
"Add to Order by SKU","Добави към Поръчката по Каталожен Номер"
"Add to Order","Добави към Поръчката"
"Add Products to Order","Добави продукти към Поръчката"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> продуцт(а) изискват Вашето внимание.</span>"
"Remove All","Премахни всички"
"Only %1%2%3 left in stock","Само %1%2%3 са останали в наличност"
"You can buy up to %1 of these per purchase.","Можете да си купите до %1 от тях за всяка поръчка."
"You must buy at least %1 of these per purchase.","Трябва да си купите най-малко %1 от тях за всяка поръчка."
"Specify the product's options.","Посочете възможности на продукта."
"Alert me when this item is available.","Предупредете ме, когато този артикул е наличен."
"We can't find this customer.","Ние не можем да намерим този клиент."
"Shopping cart management is disabled for this customer.","Управлението на количката е деактивирано за този потребител."
"We can't find this store.","Не можем да намерим този магазин."
"Customers","Потребители"
"Shopping Cart","Кошница"
"Sorry, something went wrong. You can find out more in the error log.","Извинете ни, нещо се обърка. Можете да разберете повече в дневника за грешка."
"You do not have access to this.","Нямате достъп до това."
"Ordered item id is not received.","Не е получен ИН на поръчката."
"Ordered item is not loaded.","Поръчания артикул не е зареден."
"An error has occurred. See error log for details.","Възникна грешка. Вижте дневник грешка за подробности."
"You cannot configure a product.","Не може да конфигурирате продукт."
"You removed the items.","Отстранили сте артикулите."
"You removed the item.","Отстранили сте артикула."
"You added %1 to your shopping cart.","Добавихте %1 към Вашата кошница"
"You cannot add a product.","Не можете да добавите продукт."
"Order by SKU","Подредени по Каталожен Номер"
"SKU not found in catalog.","Каталожният номер не е намерен в каталога."
"Availability: Out of stock.","Наличност: Не е в наличност."
"We don't have as many of these as you want.","Не разполагаме с количеството, което искате."
"You can't add this many to your cart.","Не може да добавите такова количество в количката."
"You need to choose options for your item.","Трябва да изберете опции за Вашия артикул."
"We can't add the item to your cart.","Не можем да добавим артикула към кошницата ви."
"Please enter an actual number in the ""Qty"" field.","Моля, въведете реален брой в полето ""Количество""."
"This product is assigned to another website.","Този продукт се намира на друг сайт."
"You can add only enabled products.","Може да добавите само активирани продукти."
"You cannot upload this file.","Не може да качите този файл."
"The file is empty.","Файлът е празен."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Не сте въвели Каталожен Номер. Моля <a href=""%1"">натиснете тук</a>, за да добавите продукт по Каталожен Номер."
"You have not entered a product SKU.","Не сте въвели Каталожен Номер."
"You added %1 product to your shopping cart.","Добавихте %1 продукт в кошницата."
"You added %1 products to your shopping cart.","Добавихте %1 продукта в кошницата."
"%1 product requires your attention.","Трябва да обърнете внимание на %1 продукта."
"%1 products require your attention.","Трябва да обърнете внимание на %1 продукт."
"Yes, for Specified Customer Groups","Да, за определени групи клиенти"
"Yes, for Everyone","Да, за всеки"
"No","Не"
"The file is corrupt.","Файлът е повреден."
"%1 item(s) need your attention.","Трябва да обърнете внимание на %1 продукт(а)."
"Apply Coupon Code","Приложи код за ваучер"
"Remove Coupon Code","Премахни ваучер код"
"Remove","Премахни"
"The coupon code ""%1"" is not valid.","Кодът на купон ""%1"" не е валиден."
"Shopping Cart Items","Артикули в Количката"
"Qty","Количество"
"Subtotal","Междинна сума"
"Discount","Отстъпка"
"Row Subtotal","Ред Междинна сума"
"Action","Действие"
"No ordered items","Няма поръчани артикули"
"Total %1 product(s)","Общо %1 продукт(и)"
"Subtotal:","Междинна сума:"
"Please select","Моля изберете"
