We can't find products matching the selection.,"___ __ _____ __ _______ ________, __________ __ ______ ________.",theme,frontend/Barbaronbg/default
Add to Cart,______ _ _________,theme,frontend/Barbaronbg/default
In stock,_ _________,theme,frontend/Barbaronbg/default
Out of stock,_________ __________,theme,frontend/Barbaronbg/default
Add to Wish List,______ ___ _______ _ ______,theme,frontend/Barbaronbg/default
Add to Compare,______ __ __________,theme,frontend/Barbaronbg/default
Learn More,_______ ______,theme,frontend/Barbaronbg/default
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print""> _________ __________</a>",theme,frontend/Barbaronbg/default
Apply Discount Code,_________ ___ __ ________,theme,frontend/Barbaronbg/default
Enter discount code,________ ___ __ ________,theme,frontend/Barbaronbg/default
Apply Discount,_________ __ ________,theme,frontend/Barbaronbg/default
Cancel Coupon,______ _____,theme,frontend/Barbaronbg/default
Shopping Cart Items,________ _ _________,theme,frontend/Barbaronbg/default
Item,_______,theme,frontend/Barbaronbg/default
Price,____,theme,frontend/Barbaronbg/default
Qty,__________,theme,frontend/Barbaronbg/default
Subtotal,________ ____,theme,frontend/Barbaronbg/default
Continue Shopping,________ ____________,theme,frontend/Barbaronbg/default
Clear Shopping Cart,________ _________,theme,frontend/Barbaronbg/default
Update Shopping Cart,____________ __ _________,theme,frontend/Barbaronbg/default
Update Cart,____________ __ _________,theme,frontend/Barbaronbg/default
See price before order confirmation.,_____ ______ _____ __ __________ _________.,theme,frontend/Barbaronbg/default
What's this?,_____ _ ____?,theme,frontend/Barbaronbg/default
Edit item parameters,_______ ___________,theme,frontend/Barbaronbg/default
Edit,___________,theme,frontend/Barbaronbg/default
Remove item,__________ __ _______,theme,frontend/Barbaronbg/default
My Cart,_____ _______,theme,frontend/Barbaronbg/default
You have no items in your shopping cart.,___ ______ ________ ___ ______ ________ _______.,theme,frontend/Barbaronbg/default
"Click <a href=""%1"">here</a> to continue shopping.","________ <a href=""%1""> ___</a> __ __ __________ ____________.",theme,frontend/Barbaronbg/default
Estimate Tax,___,theme,frontend/Barbaronbg/default
Estimate Shipping and Tax,________ _____ __ ________ _ ___,theme,frontend/Barbaronbg/default
Excl. Tax,___ ___,theme,frontend/Barbaronbg/default
Loading...,_______ __ ...,theme,frontend/Barbaronbg/default
Order #,_______ #,theme,frontend/Barbaronbg/default
Proceed to Checkout,________ _ _________,theme,frontend/Barbaronbg/default
Product Name,___ __ ________,theme,frontend/Barbaronbg/default
Incl. Tax,___. ___,theme,frontend/Barbaronbg/default
Your order number is: %1.,_______ __ _________ _: %1.,theme,frontend/Barbaronbg/default
Your order # is: <span>%1</span>.,______ _______ # _: <span>%1</span>.,theme,frontend/Barbaronbg/default
We'll email you an order confirmation with details and tracking info.,___ __ __ ________ _____ __ ____________ __ _______ _ ___________ _ __________ __ ____________.,theme,frontend/Barbaronbg/default
or,___,theme,frontend/Barbaronbg/default
Shop By,_______ __,theme,frontend/Barbaronbg/default
Clear All,_______ ______,theme,frontend/Barbaronbg/default
Shopping Options,_____ __ __________,theme,frontend/Barbaronbg/default
Search,_______,theme,frontend/Barbaronbg/default
Search entire store here...,_______ _____ _______ ___ ...,theme,frontend/Barbaronbg/default
Toggle Nav,Toggle Nav,theme,frontend/Barbaronbg/default
Read Details,_____ ___________,module,Magento_AdminNotification
Mark as Read,________ ____ _________,module,Magento_AdminNotification
Are you sure?,_______ __ __?,module,Magento_AdminNotification
Remove,__________,module,Magento_AdminNotification
Messages Inbox,_________ _______,module,Magento_AdminNotification
You have %1 new system messages,______% 1 ____ _________ _______,module,Magento_AdminNotification
You have %1 new system message,_____% 1 ____ _________ _______,module,Magento_AdminNotification
Incoming Message,_______ _________,module,Magento_AdminNotification
close,_____,module,Magento_AdminNotification
Notifications,________,module,Magento_AdminNotification
The message has been marked as Read.,___________ _ _________ ____ _________.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,__ _______ __ _________ _____________ ____ ________ ______ ______.,module,Magento_AdminNotification
Please select messages.,____ ________ _________.,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,____% 1 _____ (_) __ ____ _________ ____ _________.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,____ __% 1 _____ (_) __ ____ __________.,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,___ __ ____ __ __ ________ ___________ ______ ______.,module,Magento_AdminNotification
The message has been removed.,__________ _ ____ __________.,module,Magento_AdminNotification
1 Hour,____ ___,module,Magento_AdminNotification
2 Hours,2 ____,module,Magento_AdminNotification
6 Hours,6 ____,module,Magento_AdminNotification
12 Hours,12 ____,module,Magento_AdminNotification
24 Hours,24 ____,module,Magento_AdminNotification
critical,________,module,Magento_AdminNotification
major,_____,module,Magento_AdminNotification
minor,____________,module,Magento_AdminNotification
notice,________,module,Magento_AdminNotification
Wrong message type,______ ___ _________,module,Magento_AdminNotification
Wrong notification ID specified.,________ ______ ID ___________.,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{BASE_URL}} __ __ __________ __ __ ________ _ ______________ _____, __ __ __________ Base __________ URL / Base Secure URL ______ __. ___ _____ ____________ __ _________ ____ ________ ___ _____ Magento <a href=""%1""> ____________ </a>.",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,____ ___ ______ __ ________ Cache __ _________:% 1.,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","____, ________ <a href=""%1""> Management Cache </a> _ ________ ____ ___.",module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,"___ __ _______ __ __ _____________ ____ ___ ______ _______ _______. ____, ________ __ ___ ___ _____ __ ___________.",module,Magento_AdminNotification
Synchronization of media storages has been completed.,_____________ __ _______ ________ _ _________.,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,"______ ___ ______ _ ____________ __________ _ _________ ____________ ______ __ ____________ _______. ____, ________ __ _ _____ _________ __ _______ ______.",module,Magento_AdminNotification
System Messages:,________ _________:,module,Magento_AdminNotification
Critical System Messages,________ ________ _________,module,Magento_AdminNotification
Major System Messages,_______ ________ _________,module,Magento_AdminNotification
System messages,__________ _________,module,Magento_AdminNotification
Close,_____,module,Magento_AdminNotification
See All (,___ ______ (,module,Magento_AdminNotification
 unread),___________),module,Magento_AdminNotification
Please correct the data sent.,"____, ___________ _______, _________.",module,Magento_AdvancedPricingImportExport
Entity type model '%1' is not found,"Entity ___ _____ ""% 1"" __ _ ________",module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,___ Entity _____ ______ __ ____ _________ __ \ Magento \ CatalogImportExport \ _____ \ Export \ _______ \ Type \ AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,__ __ _______ ______ ________ __ ____________ __ _____,module,Magento_AdvancedPricingImportExport
We can't find the role for the user you wanted.,"___ __ _____ __ _______ ______ __ ___________, _____ ____.",module,Magento_Authorization
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,____ __ ______ ___ ___________ __ ______ _ _________ ________. ______ __ _________ ______ _ ____________ _____.,module,Magento_Authorization
You created the order.,__ __ ______ ____.,module,Magento_Authorizenet
Order saving error: %1,_______ __________ ______:% 1,module,Magento_Authorizenet
Please choose a payment method.,"____, ________ _____ __ _______.",module,Magento_Authorizenet
We can't process your order right now. Please try again later.,"___ __ ____ __ ____ __________ _______. ____, ________ ______ __-_____.",module,Magento_Authorizenet
Unable to place order. Please try again later.,"__ ____ __ __ _______ ___. ____, ________ ______ __-_____.",module,Magento_Authorizenet
Credit Card: xxxx-%1,________ _____: xxxx-% 1,module,Magento_Authorizenet
amount %1,__________% 1,module,Magento_Authorizenet
failed.,__ _______.,module,Magento_Authorizenet
successful.,_______.,module,Magento_Authorizenet
Authorize.Net Transaction ID %1.,Authorize.Net __________ ID% 1.,module,Magento_Authorizenet
authorize,_______,module,Magento_Authorizenet
authorize and capture,_______ _ _____,module,Magento_Authorizenet
capture,_______,module,Magento_Authorizenet
refund,______________,module,Magento_Authorizenet
void,________,module,Magento_Authorizenet
Gateway error: %1,Gateway ______:% 1,module,Magento_Authorizenet
Something went wrong in the payment gateway.,____ __ ______ _ _____ __ _______.,module,Magento_Authorizenet
Invalid amount for capture.,_________ ________ __ _______.,module,Magento_Authorizenet
Payment capturing error.,_________ ______ _______.,module,Magento_Authorizenet
Invalid transaction ID.,_________ ID ______.,module,Magento_Authorizenet
Payment voiding error.,_________ ______ _________.,module,Magento_Authorizenet
Invalid amount for refund.,_________ ____ __ ______________.,module,Magento_Authorizenet
Payment refunding error.,_________ ______ ______________.,module,Magento_Authorizenet
The transaction was declined because the response hash validation failed.,"________ __ __________, ___ ____________ __ _______ ___ _______.",module,Magento_Authorizenet
This payment didn't work out because we can't find this order.,"____ _______ __ __ ______, ______ __ _____ __ _______ ____ ___.",module,Magento_Authorizenet
There was a payment authorization error.,_____ ______ __________ __ _______.,module,Magento_Authorizenet
Please enter a transaction ID to authorize this payment.,"____, ________ ID ______ __ _______ ____ _______.",module,Magento_Authorizenet
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,"____ __ ______: _________ ____ __ _______ _ ______ ____ __ _________. ____, _________ ____ _ ________ ______.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","__________% 1 _ ___ _______. ____% 2. ________ __ __________ _ ""% 3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","__________% 1 _ ___ ________ / ______. ________ __ __________ _ ""% 2"". ____% 3.",module,Magento_Authorizenet
Authorize Only,__________ __________,module,Magento_Authorizenet
Authorize and Capture,______________ _ _________,module,Magento_Authorizenet
Unable to get transaction details. Try again later.,__ ____ __ __ ______ __________ __ ________. ________ ______ __-_____.,module,Magento_Authorizenet
Credit Card Type,___ __ __________ _____,module,Magento_Authorizenet
Credit Card Number,_____ __ ________ _____,module,Magento_Authorizenet
Expiration Date,____ __ _______,module,Magento_Authorizenet
Card Verification Number,____ ________ Card,module,Magento_Authorizenet
Fraud Detection ,__________ __ ______,module,Magento_Authorizenet
FDS Filter Action,FDS ______ __ ________,module,Magento_Authorizenet
AVS Response,AVS Response,module,Magento_Authorizenet
Card Code Response,Card ___ __ _______,module,Magento_Authorizenet
CAVV Response,CAVV Response,module,Magento_Authorizenet
Fraud Filters,________ ______,module,Magento_Authorizenet
Invalid Form Key. Please refresh the page.,"_________ _____ Key. ____, _________ __________.",module,Magento_Backend
You entered an invalid Secret Key. Please refresh the page.,"______ ___ _________ Secret Key. ____, _________ __________.",module,Magento_Backend
Cache Storage Management,__________ Cache Storage,module,Magento_Backend
Flush Magento Cache,Flush Magento Cache,module,Magento_Backend
The cache storage may contain additional data. Are you sure that you want to flush it?,"_____________ __ ____ ____ __ _______ ____________ _____. _______, __ ______ __ __ _________ __ ___?",module,Magento_Backend
Flush Cache Storage,Flush Cache Storage,module,Magento_Backend
Invalidated,Invalidated,module,Magento_Backend
Orders,_______,module,Magento_Backend
Amounts,______,module,Magento_Backend
Bestsellers,___-_________,module,Magento_Backend
Most Viewed Products,___-___________ ________,module,Magento_Backend
New Customers,____ _______,module,Magento_Backend
Customers,_______,module,Magento_Backend
Customer,______,module,Magento_Backend
Guest,____,module,Magento_Backend
Items,________,module,Magento_Backend
Total,____ ____,module,Magento_Backend
Lifetime Sales,_____ __ __________,module,Magento_Backend
Average Order,______ _______,module,Magento_Backend
Average,______ ___________,module,Magento_Backend
Product,_______,module,Magento_Backend
Price,____,module,Magento_Backend
Quantity,__________,module,Magento_Backend
Views,________,module,Magento_Backend
Revenue,______,module,Magento_Backend
Tax,_____,module,Magento_Backend
Shipping,________,module,Magento_Backend
"Images (.gif, .jpg, .png)","______ (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)",module,Magento_Backend
All Files,______ _______,module,Magento_Backend
Reset to Default,_________ __ ______________,module,Magento_Backend
All Store Views,______ __________,module,Magento_Backend
What is this?,_____ _ ____?,module,Magento_Backend
Save Account,_________ __ _______,module,Magento_Backend
My Account,_____ ______,module,Magento_Backend
Account Information,__________ __ _______,module,Magento_Backend
User Name,_____________ ___,module,Magento_Backend
First Name,_____ ___,module,Magento_Backend
Last Name,_______ ___,module,Magento_Backend
Email,__________ ____,module,Magento_Backend
User Email,____________ Email,module,Magento_Backend
New Password,____ ______,module,Magento_Backend
Password Confirmation,____________ __ ______,module,Magento_Backend
Interface Locale,_________ __ _______,module,Magento_Backend
Current User Identity Verification,________ Current User Identity,module,Magento_Backend
Your Password,______ ______,module,Magento_Backend
Save Cache Settings,_________ __ _________ __ ________,module,Magento_Backend
Catalog Rewrites,_______ _______________,module,Magento_Backend
Refresh,__________,module,Magento_Backend
Images Cache,______ Cache,module,Magento_Backend
Clear,____,module,Magento_Backend
Search Index,______ _______,module,Magento_Backend
Rebuild,Rebuild,module,Magento_Backend
Inventory Stock Status,______________ _______ Status,module,Magento_Backend
Rebuild Catalog Index,Rebuild Index Catalog,module,Magento_Backend
Rebuild Flat Catalog Category,Rebuild Flat Catalog _________,module,Magento_Backend
Rebuild Flat Catalog Product,Rebuild Flat _________ _______,module,Magento_Backend
Cache Control,Cache Control,module,Magento_Backend
All Cache,______ Cache,module,Magento_Backend
No change,____ _______,module,Magento_Backend
Disable,_____ __________,module,Magento_Backend
Enable,__________,module,Magento_Backend
Add Design Change,______ Design _______,module,Magento_Backend
Back,_______,module,Magento_Backend
Delete,________,module,Magento_Backend
Are you sure?,_______ __ __?,module,Magento_Backend
Save,Save,module,Magento_Backend
Edit Design Change,Edit ______ _______,module,Magento_Backend
New Store Design Change,___ _______ ______ _______,module,Magento_Backend
General Settings,_______ _________,module,Magento_Backend
Store,_______,module,Magento_Backend
-- Please Select --,-- ____ ________ --,module,Magento_Backend
Custom Design,______ __ _______,module,Magento_Backend
Date From,____ __,module,Magento_Backend
Date To,____ __,module,Magento_Backend
Design Change,______ __ _______,module,Magento_Backend
General,___,module,Magento_Backend
Cancel,_____,module,Magento_Backend
Delete %1 '%2',"_________% 1 ""% 2""",module,Magento_Backend
Delete %1,_________% 1,module,Magento_Backend
Block Information,____ __________,module,Magento_Backend
Backup Options,_____ __ __________,module,Magento_Backend
Create DB Backup,_________ __ DB Backup,module,Magento_Backend
Yes,__,module,Magento_Backend
No,__,module,Magento_Backend
Delete Store,_________ Store,module,Magento_Backend
Delete Web Site,_________ __ ___ ____,module,Magento_Backend
Save Web Site,Save Web Site,module,Magento_Backend
Save Store,Save Store,module,Magento_Backend
Save Store View,Save _________ View,module,Magento_Backend
Delete Store View,_________ Store View,module,Magento_Backend
Edit Web Site,Edit Web Site,module,Magento_Backend
New Web Site,___ ___ ____,module,Magento_Backend
Edit Store,Edit Store,module,Magento_Backend
New Store,___ _______,module,Magento_Backend
Edit Store View,Edit Store View,module,Magento_Backend
