[2016-07-31 12:25:37] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:02:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/admin/index/index/key/c6c06109692a30a3f5f9ff1e72b34bff373b9ae78654224a993b9cc9ec6922b5/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-31 14:05:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-31 14:05:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_13","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:05:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:05:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_product_13","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:05:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_13","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:05:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:05:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_product_13","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:05:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_13","catalog_category","catalog_category_product_13"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:07] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_design_config_grid_flat_1"},"is_exception":false} []
